Model,Accuracy,Precision,Recall,F1 Score
Naive Bayes,0.9641255605381166,0.9824561403508771,0.7466666666666667,0.8484848484848485
Logistic Regression,0.9381165919282511,0.9655172413793104,0.56,0.7088607594936709
Support Vector Machine,0.9739910313901345,0.9548872180451128,0.8466666666666667,0.8975265017667845
